Relative Path, Short Name of Source, Date Modified
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_gokalpbags_clothing_spouse_trigger, EPE, 2025.12.15
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_gokalpbags_clothing_contents_trigger, EPE, 2025.12.15
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_chinese_clothing_trigger, EPE, 2025.12.15
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_chinese_clothing_spouse_trigger, EPE, 2025.12.15
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_uyghur_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_uyghur_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_uyghur_clothing_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_uyghur_clothing_spouse_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_khitan_clothing_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_khitan_clothing_spouse_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_tangut_clothing_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_tangut_clothing_spouse_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_jurchen_clothing_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_jurchen_clothing_spouse_trigger, CK3, 2026.03.14
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_sino_iranian_chinese_clothing_trigger, EPE, 2025.12.15
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_sino_iranian_chinese_clothing_spouse_trigger, EPE, 2025.12.15
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_georgian_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_georgian_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_armenian_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_armenian_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_byzantine_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_byzantine_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(CFP_clothing_triggers.txt)\portrait_cfp_hungarian_clothing_trigger, CFP, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(CFP_clothing_triggers.txt)\portrait_cfp_hungarian_clothing_spouse_trigger, CFP, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_islamic_iranian_clothing_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(xEPE_clothing_triggers.txt)\portrait_epe_islamic_iranian_clothing_spouse_trigger, EPE, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_mena_clothing_trigger, CK3, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_mena_clothing_spouse_trigger, CK3, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_dde_abbasid_clothing_trigger, CK3, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_dde_abbasid_clothing_spouse_trigger, CK3, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_religious_muslim_trigger, CK3, 2025.12.11
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_war_nobles_helmet_trigger, CK3, 2026.02.09
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_ep2_western_travel_cloak_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_ep2_mena_travel_cloak_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_era1_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_era2_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_era3_trigger, CK3, 2025.11.20
common\scripted_triggers\yb_clothing_triggers.txt(00_clothing_triggers.txt)\portrait_era4_trigger, CK3, 2025.11.20
common\situation\situations\the_great_steppe.txt, CK3, 2026.03.03
common\subject_contracts\groups\subject_contract_groups.txt, CK3, 2026.01.03
events\dlc\mpo\mpo_interactions_events.txt, CK3, 2026.01.01
events\religion_events\great_holy_war_events.txt, CK3, 2025.11.24
gfx\interface\illustrations\loading_screens\loadscreen_settings.txt, CK3, 2026.01.01
gfx\map\map_modes\map_modes.txt, CAFG, 2026.02.22
gfx\map\map_modes\map_modes.txt, CAFG, 2026.02.22
gfx\map\map_modes\map_modes.txt, CK3, 2025.12.13
gfx\map\map_object_data\special_building_locators.txt, SW, 2026.03.23
gfx\portraits\portrait_modifiers\00_custom_headgear.txt, EPE + CFP, 2026.03.21
gfx\portraits\portrait_modifiers\01_beards_base.txt, EPE, 2026.02.04
gfx\portraits\portrait_modifiers\01_clothes_base.txt, EPE, 2026.03.19
gfx\portraits\portrait_modifiers\01_hairstyles_base.txt, EPE, 2026.03.19
gfx\portraits\portrait_modifiers\01_headgear_base.txt, EPE + CFP, 2026.03.21
gfx\portraits\portrait_modifiers\04_headgear_armor.txt, EPE + CFP, 2026.03.21
gfx\portraits\portrait_modifiers\CFP_hairstyles.txt, CFP, 2025.12.05
gfx\portraits\portrait_modifiers\CFP_headgear_armor.txt, EPE + CFP, 2026.02.09
gfx\portraits\portrait_modifiers\CFP_headgear_base.txt, EPE + CFP, 2026.02.05
gui\window_migration.gui, CK3, 2025.12.12
gui\shared\cooltip.txt, CK3, 2025.12.12
gui\shared\mapmodes.gui, CK3, 2025.10.28
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\world_asia_china, CK3, 2025.11.27
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_western, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_mena, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_india, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_burma, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_tibet, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_sea, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_mediterranean, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_steppe, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_siberia, SW, 2026.02.18
map_data\geographical_regions\yb_geographical_region.txt(geographical_region.txt)\graphical_east_asia, SW, 2026.02.18
